symptomid	symptom_norm	symptom_ori	count	cui	cui_name	cui_source	metamap_score	cui_def	gpt3_def
6131	tonsillarexudate	Tonsillar exudate	4	C0241451	tonsillar exudate	METAMAP_STRING_MATCH			The definition of tonsillar exudate is a fluid or mucous secretion from the tonsils.
6132	respiratorydisorderneonatal	Respiratory disorder neonatal	4						A respiratory disorder which affects newborns.
6133	drugadministeredinwrongdevice	Drug administered in wrong device	4	C2938864	Drug administered in wrong device	UMLS_API			Drug administered in wrong device is when a drug is given in a device that is not intended for that particular drug. This can be harmful to the patient because the drug may not be properly administered or absorbed.
6134	pinguecula	Pinguecula	4	C0152255	Pinguecula	UMLS_API		A yellowish thickened lesion on the conjunctiva near the CORNEA representing a benign degenerative change in the CONJUNCTIVA caused by the leakage and deposition of certain blood proteins through the permeable capillaries near the LIMBUS.	an abnormal growth on the conjunctiva of the eye.  Pinguecula is an abnormal growth on the conjunctiva, which is the thin, transparent tissue that lines the inside of the eyelids and covers the whites of the eyes. It is usually a yellowish, fleshy mass that can be seen on the side of the eye, near the nose. Pinguecula is a noncancerous, benign growth.
6135	intestinalinfarction	Intestinal infarction	4	C0241950	Intestinal infarction	UMLS_API			An intestinal infarction is a blockage of the blood supply to the intestines, often caused by a blood clot.
6136	complicationofdelivery	Complication of delivery	4	C0852962	Complication of delivery	UMLS_API		An abnormality of the birth process.	A complication of delivery is a problem that arises during the process of giving birth. Some common complications include prolonged labor, delivery of a premature or underweight baby, and infection.
6137	magneticresonanceimagingbreastnormal	Magnetic resonance imaging breast normal	4	C5208276	Magnetic resonance imaging breast normal	UMLS_API			A Magnetic resonance imaging (MRI) of a woman's breasts is considered normal if there are no signs of cancerous tumors. The breasts will typically appear round and even in size, and there will be no visible abnormalities.
6138	aversion	Aversion	4	C2825146	Aversion	UMLS_API		A strong dislike or disinclination.	A feeling of intense dislike or hatred for someone or something
6139	granulomaskin	Granuloma skin	4						a benign, nonspecific inflammation of the skin that may be caused by a variety of factors, including infection, injury, or foreign body reaction.  Granuloma skin is a benign, nonspecific inflammation of the skin that may be caused by a variety of factors, including infection, injury, or foreign body reaction. It most commonly appears as a small, red, raised spot on the skin. The spot may be itchy or painful, and may eventually grow into a larger, more noticeable lump. Treatment typically includes antibiotics if the cause is infection, or removal of the foreign body if the cause is known.
6140	hepaticcancermetastatic	Hepatic cancer metastatic	4	C0856554	Hepatic cancer metastatic	UMLS_API		A carcinoma that arises from the liver and has spread to another anatomic site.	A cancer that has spread from the original tumor site in the liver to other parts of the body.
6141	electrocardiogrampwaveabnormal	Electrocardiogram P wave abnormal	4	C1623258	Electrocardiography	METAMAP_HIGH_CONF_RESULT_SCORE_OVER_4	4.14		An abnormal P wave is one that does not look like the normal P wave on an electrocardiogram.
6142	pituitarytumour	Pituitary tumour	4	C0032019	Pituitary Neoplasms	METAMAP_HIGH_CONF_RESULT_SCORE_OVER_4	20.26	new abnormal pituitary tissue that grows by excessive cellular division and proliferation more rapidly than normal and continues to grow after the stimuli that initiated the new growth cease.	:  A tumour that starts in the pituitary gland, a small gland at the base of the brain.
6143	computerisedtomogrampancreasabnormal	Computerised tomogram pancreas abnormal	4	C5208177	Computerised tomogram pancreas abnormal	UMLS_API			A computerized tomogram (CT) of the pancreas is an image of the inside of the pancreas that is created using x-rays. CT scans are used to diagnose pancreatitis, pancreatic cancer, and other conditions.
6144	oedematouspancreatitis	Oedematous pancreatitis	4	C0948393	Oedematous pancreatitis	UMLS_API			an inflammation of the pancreas that is characterized by an accumulation of fluid within the pancreatic tissues.
6145	poorqualitydeviceused	Poor quality device used	4	C4285850	Poor quality device used	UMLS_API			a device that malfunctions and is not able to do the job that it is supposed to do.
6146	csfvolume	CSF volume	4	C3888791	CSF volume	UMLS_API			the total volume of CSF in the cranial cavity.  There is no definitive answer to this question as the volume of CSF in the cranial cavity can vary significantly from individual to individual. In general, the total volume of CSF in the cranial cavity is thought to be around 150-200 milliliters.
6147	coldtypehaemolyticanaemia	Cold type haemolytic anaemia	4	C0009264	Cold Temperature	METAMAP_HIGH_CONF_RESULT_SCORE_OVER_4	13.81		a form of anaemia that is characterised by the destruction of red blood cells, which leads to a decrease in red blood cell count.
6148	administrationrelatedreaction	Administration related reaction	4	C2747846	Administration related reaction	UMLS_API			A reaction to a drug or other therapy in which the adverse effects are more severe than the therapeutic effects.
6149	histoneantibody	Histone antibody	4	C0369360	Histone antibody	UMLS_API			:  A histone antibody is an immunoglobulin molecule that binds to histones, a type of protein found in the nucleus of cells. Histone antibodies are used in research to study the function of histones, as well as their role in diseases such as cancer.
6150	idiopathicangioedema	Idiopathic angioedema	4	C1304177	Idiopathic angioedema	UMLS_API			a sudden, unexplained attack of swelling in the skin and tissues below the surface.  Angioedema is a condition that results in the rapid accumulation of fluid in the deep layers of the skin. The cause is often unknown, but it can be triggered by a number of factors, including allergic reactions, medication, and infection. The condition can cause a range of symptoms, including redness, swelling, itching, and burning. In severe cases, angioedema can lead to breathing difficulties and even a life-threatening allergic reaction called anaphylaxis.
6151	dislocationofvertebra	Dislocation of vertebra	4						A dislocation is a medical emergency in which one or more of the bones of the spinal column (vertebrae) to which the spinal cord is attached is displaced from its normal position.
6152	foreignbodyingastrointestinaltract	Foreign body in gastrointestinal tract	4						anything that is not supposed to be there. This can include items like pieces of food, coins, and other objects.
6153	pityriasislichenoidesetvarioliformisacuta	Pityriasis lichenoides et varioliformis acuta	4	C0162852	Pityriasis Lichenoides et Varioliformis Acuta	UMLS_API		A rare skin disorder of unknown etiology that is considered to be a more severe form of pityriasis lichenoides.	a papulosquamous dermatosis that is mainly characterized by the sudden appearance of grouped, erythematous, vesicular, and/or ulcerative lesions on the trunk and extremities.
6154	beta2globulin	Beta 2 globulin	4						a protein that is present in the blood and is a part of the immune system
6155	urticariacontact	Urticaria contact	4						persistent redness and swelling, sometimes with itching and burning, of a skin area that has been in contact with a substance that causes an allergic reaction.   Urticaria contact is a skin reaction that results from exposure to an allergen. This can cause redness, swelling, and itching in the area that was exposed. Treatment typically involves avoiding the allergen, if possible, and using medications or other treatments to relieve symptoms.
6156	earinfectionfungal	Ear infection fungal	4						A fungal ear infection is a type of ear infection that is caused by a fungus. Fungal ear infections are less common than other types of ear infections, but they can be serious and can sometimes lead to hearing loss.
6157	irritabilitypostvaccinal	Irritability postvaccinal	4	C1112603	Irritability postvaccinal	UMLS_API			The definition of irritability postvaccinal is that a person is more easily irritated and angered after getting a vaccine. This can be a side effect of some vaccines, but is not a common side effect.
6158	humanpapillomavirustest	Human papilloma virus test	4	C1610047	Human papilloma virus test	UMLS_API			a blood test that is used to determine whether a person has been infected with HPV.
6159	oticexaminationnormal	Otic examination normal	4	C1112288	Otic examination normal	UMLS_API			No signs or symptoms of disease are found during the examination.
6160	bonemarrowtransplant	Bone marrow transplant	4	C0005961	Bone Marrow Transplantation	METAMAP_HIGH_CONF_RESULT_SCORE_OVER_4	4.14		the transfer of hematopoietic stem cells from one person (the donor) to another person (the recipient).
6161	tracheomalacia	Tracheomalacia	4	C0948187	Tracheomalacia	UMLS_API		A congenital or acquired condition of underdeveloped or degeneration of CARTILAGE in the TRACHEA.	a medical condition in which the cartilage in the trachea (the tube that carries air from the nose and mouth to the lungs) is weak and can’t support the normal flow of air. This can cause difficulty breathing.
6162	post-traumaticneuralgia	Post-traumatic neuralgia	4	C4049233	Post-traumatic neuralgia	UMLS_API			A neurological condition that affects a person's ability to feel pain in the aftermath of a traumatic event.
6163	glaucomadrainagedeviceplacement	Glaucoma drainage device placement	4	C4552153	Glaucoma drainage device placement	UMLS_API			the surgical placement of a device to improve drainage of aqueous humor from the eye in patients with glaucoma.
6164	postvaccinationsyndrome	Post vaccination syndrome	4	C0151862	Post vaccination syndrome	UMLS_API			A syndrome that occasionally follows vaccinations, consisting of a variety of symptoms, such as fever, myalgia, and malaise.
6165	adjustedcalcium	Adjusted calcium	4	C0443442	Adjusted calcium	UMLS_API			: a measure of the amount of calcium that is available to the body from food
6166	opticalcoherencetomographynormal	Optical coherence tomography normal	4	C3665899	Optical coherence tomography normal	UMLS_API			Optical coherence tomography is a non-invasive medical imaging technique that uses light to produce high-resolution, three-dimensional images of the interior of the body. The images are constructed by measuring the interference of light bouncing off different parts of the body.
6167	holmes-adiepupil	Holmes-Adie pupil	4	C0001519	Adie Syndrome	METAMAP_HIGH_CONF_RESULT_SCORE_OVER_4	7.37	A syndrome characterized by a TONIC PUPIL that occurs in combination with decreased lower extremity reflexes.	A pupil that does not respond to light accommodation, but does respond to the accommodation produced by movement of the lens.
6168	mucosavesicle	Mucosa vesicle	4						A mucous vesicle is a small sac or bladder that is found in the mucous membrane.
6169	thyroxinefreeabnormal	Thyroxine free abnormal	4	C0861031	Thyroxine free abnormal	UMLS_API			a serum thyroxine level that is lower than the normal range for the individual's age.
6170	bloodmercuryabnormal	Blood mercury abnormal	4	C1168068	Blood mercury abnormal	UMLS_API			that it is an abnormal level of mercury in the blood.
6171	methylmalonicaciduria	Methylmalonic aciduria	4	C1855119	Methylmalonic aciduria	UMLS_API		autosomal recessive aminoacidopathy characterized by an excess of methylmalonic acid in the blood and urine, with metabolic ketoacidosis, hyperglycinemia, hyperglycinuria and hyperammonemia; results from defects that cause deficiencies of methylmalonyl-CoA mutase.	an inherited disorder that prevents the body from converting food into energy. This results in a build-up of methylmalonic acid in the blood.
6172	rombergtest	Romberg test	4						A test used to measure balance and coordination. The patient stands with his feet together and his eyes closed for a set amount of time. Any swaying is measured and recorded.
6173	plantarerythema	Plantar erythema	4	C0240773	Plantar erythema	UMLS_API			A condition involving a red, inflamed patch on the bottom of the foot, typically near the heel.
6174	bloodparathyroidhormonedecreased	Blood parathyroid hormone decreased	4	C0853024	Blood parathyroid hormone decreased	UMLS_API			A decrease in blood parathyroid hormone levels indicates a decrease in the function of the parathyroid glands. This condition can lead to a reduction in bone density, osteoporosis, and an increased risk of fractures.
6175	lightchainanalysisabnormal	Light chain analysis abnormal	4	C1262017	Light chain analysis abnormal	UMLS_API			What is meant by light chain analysis abnormal?  Light chain analysis abnormal is a term used to describe a condition in which the light chain proteins in a person's blood are not functioning properly. This can result in a condition called light chain deposition disease, which is a type of abnormal blood protein accumulation that can damage the kidneys and other organs.
6176	trigeminalneuritis	Trigeminal neuritis	4	C0393785	trigeminal neuritis	METAMAP_STRING_MATCH			A neurological disorder that involves inflammation and damage to the trigeminal nerve, one of the cranial nerves. Trigeminal neuritis may cause pain, tingling, or numbness in the areas of the face supplied by the nerve, such as the forehead, cheeks, nose, and lips. In severe cases, trigeminal neuritis can lead to facial paralysis.
6177	cutaneoust-celllymphoma	Cutaneous T-cell lymphoma	4	C0079773	Lymphoma, T-Cell, Cutaneous	METAMAP_HIGH_CONF_RESULT_SCORE_OVER_4	9.21	A group of lymphomas exhibiting clonal expansion of malignant T-lymphocytes arrested at varying stages of differentiation as well as malignant infiltration of the skin.	a type of cancer that starts in the skin's T-cells, which are white blood cells that help fight infection.  Cutaneous T-cell lymphoma (CTCL) is a type of cancer that starts in the skin's T-cells, which are white blood cells that help fight infection. The most common form of CTCL is mycosis fungoides, which affects about two-thirds of people with the disease.  Symptoms of CTCL include skin changes, such as red, scaly patches, or a rash; skin lesions; a feeling of itchiness; and enlarged lymph nodes.
6178	scleraloedema	Scleral oedema	4						A condition characterised by the accumulation of fluid in the tissues surrounding the eyeball. This can lead to a bulging of the eye and impaired vision.
6179	splenicgranuloma	Splenic granuloma	4	C1535984	Splenic granuloma	UMLS_API			a mass or Tumor found in the spleen.  A mass or tumor found in the spleen may be caused by a number of conditions, including infectious agents such as bacteria or viruses, or immune system disorders. The mass may be a benign (noncancerous) lesion, or it may be cancerous.
6180	dentalrestorationfailure	Dental restoration failure	4	C0376494	Dental Restoration Failure	UMLS_API		Inability or inadequacy of a dental restoration or prosthesis to perform as expected.	The failure of a dental restoration (such as a filling, crown, or bridge) to meet the goals for which it was placed.
6181	spontaneoushaematoma	Spontaneous haematoma	4						A spontaneous haematoma is a type of localised haemorrhage (bleeding) that originates from a single blood vessel.
6182	walkingdistancetestabnormal	Walking distance test abnormal	4	C3160836	Walking distance test abnormal	UMLS_API			The definition of Walking distance test abnormal is an abnormal result on the walking distance test, which measures the patient's ability to walk a certain distance. An abnormal result may indicate that the patient has a mobility impairment.
6183	catarrh	Catarrh	4	C1384493	Catarrh	UMLS_API		Inflammation of a mucous membrane with increased flow of mucous in humans or animals.	A runny nose with thick, sticky mucus that may cause a sore throat
6184	dermatitisinfected	Dermatitis infected	4						inflammation of the skin, often caused by an infection or an allergic reaction
6185	confabulation	Confabulation	4	C0233800	Confabulation	UMLS_API		Giving untruthful answers to questions about situations or events that are not recalled due to loss of memory.	an unintentional misstatement of fact or an incorrect assumption.
6186	mediastinaldisorder	Mediastinal disorder	4						A medistinal disorder is any medical condition that affects the tissues or organs in the chest between the lungs. This area includes the heart, large blood vessels, trachea, and lungs.
6187	venousstentinsertion	Venous stent insertion	4	C1504339	Venous stent insertion	UMLS_API			A venous stent is a medical implant used to keep veins open. Venous stents are inserted by a doctor during a minimally invasive procedure.
6188	acuteabdomen	Acute abdomen	4	C0000727	Abdomen, Acute	METAMAP_HIGH_CONF_RESULT_SCORE_OVER_4	5.06	A clinical syndrome with acute abdominal pain that is severe, localized, and rapid in onset.	A severe and sudden onset of pain in the abdomen that may be a sign of a serious underlying condition, such as appendicitis.
6189	bradycardiafoetal	Bradycardia foetal	4						a heart rate of less than 100 beats per minute in a foetus.  Bradycardia foetal is a heart rate of less than 100 beats per minute in a foetus.
6190	cardiovascularfunctiontestnormal	Cardiovascular function test normal	4	C0855326	Cardiovascular function test normal	UMLS_API			Cardiovascular function tests can help to indicate how well your heart and blood vessels are working. These tests may include measuring your heart rate and rhythm, blood pressure, the amount of oxygen in your blood, and how well your heart pumps blood.  If your results are normal, it means that your heart and blood vessels are working as they should.
6191	crystalurineabsent	Crystal urine absent	4	C0855947	Crystal urine absent	UMLS_API			:  When someone has crystal urine absent, this means that they have a lack of crystals in their urine. This can be caused by a variety of different factors, such as taking medications that can prevent the formation of crystals or having a disease or disorder that interferes with the ability to produce crystals. Without crystals in the urine, it can be more difficult to determine the cause of a person's urinary problems.
6192	otoscopy	Otoscopy	4						the examination of the ear and its parts with an otoscope
6193	conjunctivaldisorder	Conjunctival disorder	4						A disorder of the conjunctiva, the delicate membrane that lines the surface of the eyeball and the inner surface of the eyelids.  Symptoms may include redness, irritation, tearing, and discharge.
6194	ultrasoundbiliarytractabnormal	Ultrasound biliary tract abnormal	4	C1141875	Ultrasound biliary tract abnormal	UMLS_API			Ultrasound biliary tract abnormal is a term used to describe a condition in which the ultrasound images of the biliary tract show some sort of abnormality. This term may be used to describe any sort of abnormality in the biliary tract, including blockages, swelling, or tumors.
6195	laryngoscopynormal	Laryngoscopy normal	4	C0853491	Laryngoscopy normal	UMLS_API			The definition of normal laryngoscopy is the visualization of the vocal cords and anterior larynx without any visible masses, asymmetry, or discharge.
6196	dementiawithlewybodies	Dementia with Lewy bodies	4	C0752347	Lewy Body Disease	METAMAP_HIGH_CONF_RESULT_SCORE_OVER_4	11.05	Neurodegenerative disease marked by the presence of Lewy body cells in the cerebral cortex and brain stem.	a progressive neurological disorder that affects movement, thinking, and mood.  Dementia with Lewy bodies (DLB) is a progressive neurological disorder that can cause movement problems, thinking and memory difficulties, and changes in mood. The condition is thought to be caused by the abnormal accumulation of a protein calledLewy bodies in the brain. While the symptoms of DLB can be similar to those of Alzheimer's disease, the two conditions are treated differently. There is no known cure for DLB, but treatments are available to help improve symptoms.
6197	cardiopulmonaryexercisetest	Cardiopulmonary exercise test	4	C2959886	Cardiopulmonary Exercise Test	UMLS_API		A clinical tool to evaluate exercise capacity and to assess cardiac function under stress.	a diagnostic test performed on patients with heart or lung disease to measure the amount of oxygenated blood reaching the muscles.
6198	oestradioldecreased	Oestradiol decreased	4	C0860850	Oestradiol decreased	UMLS_API			A decrease in the level of the hormone oestradiol in the blood.
6199	pelvichaemorrhage	Pelvic haemorrhage	4	C1504419	Pelvic haemorrhage	UMLS_API		Bleeding within the pelvic cavity.	:  Pelvic haemorrhage is internal bleeding in the pelvis. It can be caused by various factors, including childbirth, abortion, or a pelvic fracture. Symptoms include pain in the pelvis, vaginal bleeding, and feeling lightheaded or faint.
6200	diverticulumintestinalhaemorrhagic	Diverticulum intestinal haemorrhagic	4	C0854238	Diverticulum intestinal haemorrhagic	UMLS_API			A diverticulum intestinal haemorrhagic is a pouch-like protrusion in the wall of the intestine that can become inflamed and bleed.
6201	bulloushaemorrhagicdermatosis	Bullous haemorrhagic dermatosis	4	C5243895	Bullous haemorrhagic dermatosis	UMLS_API			A rare skin disorder characterized by blistering and bleeding on the skin.
6202	cardio-respiratorydistress	Cardio-respiratory distress	4	C0877339	Cardio-respiratory distress	UMLS_API			A condition that arises when the cardiopulmonary system is unable to provide the body with the oxygen it needs to function. This can lead to a variety of problems, including difficulty breathing, chest pain, and even sudden death.
6203	radialpulseincreased	Radial pulse increased	4	C1096162	Radial pulse increased	UMLS_API			an increase in the number of radial pulses.
6204	urineosmolaritynormal	Urine osmolarity normal	4	C3544149	Urine osmolarity normal	UMLS_API			:  Urine osmolarity normal is a measure of the concentration of solutes in urine, and is typically around 300 milliosmoles per liter (mOsm/L).
6205	wristdeformity	Wrist deformity	4	C0740335	Wrist deformity	UMLS_API			A wrist deformity is a condition that affects the wrist, causing it to be misshapen or crooked.
6206	airwaysecretionclearancetherapy	Airway secretion clearance therapy	4	C3804983	Airway secretion clearance therapy	UMLS_API			Airway secretion clearance therapy is a type of therapy used to clear secretions from the airways. This can be done through the use of devices that remove secretions from the lungs, such as a bronchoscope or a mechanical ventilator, or by using drugs to help the body clear the secretions.
6207	electrocardiogramrrinterval	Electrocardiogram RR interval	4	C2041217	electrocardiogram RR interval	UMLS_API			The average time between the beginning of one heartbeat and the beginning of the next heartbeat.
6208	x-raywithcontrastlowergastrointestinaltract	X-ray with contrast lower gastrointestinal tract	4	C1167876	X-ray with contrast lower gastrointestinal tract	UMLS_API			A radiographic examination of the lower gastrointestinal tract that uses a contrast medium to improve the visibility of internal structures.
6209	catheterisationvenous	Catheterisation venous	4						A procedure in which a long, thin tube is inserted into a vein in the arm or leg in order to draw blood or to give liquids or medications.
6210	amnioticfluidindexdecreased	Amniotic fluid index decreased	4	C0740948	Amniotic fluid index decreased	UMLS_API			A decrease in the amniotic fluid index (AFI) usually means that there is decreased amniotic fluid around the baby. This may be a sign that the baby is in trouble.
6211	ophthalmicarterythrombosis	Ophthalmic artery thrombosis	4	C1384811	Ophthalmic artery thrombosis	UMLS_API			Is a medical emergency that can occur when a blood vessel in the eye becomes blocked. This can lead to a loss of vision in the affected eye.
6212	retinalinfarction	Retinal infarction	4	C0281967	Retinal infarction	UMLS_API			Damage to the retina as a result of a lack of blood supply. This can lead to blindness.
6213	forcedexpiratoryvolume	Forced expiratory volume	4						the amount of air that can be forcibly exhaled in one second.
6214	semenvolumedecreased	Semen volume decreased	4	C0855521	Semen volume decreased	UMLS_API			A decrease in the volume of semen discharged during ejaculation. This may be due to a number of factors, including aging, illness, or stress.
6215	frontalsinusoperation	Frontal sinus operation	4						The surgical removal of a portion of the frontal sinus, usually to treat a sinus infection.
6216	cardiacpacemakeradjustment	Cardiac pacemaker adjustment	4	C2069134	Cardiac pacemaker adjustment	UMLS_API			a type of medical procedure that is used to help regulate a patient's heart rhythm. This procedure is used to help adjust the amount of electrical impulses that are sent to the heart.
6217	chronichepatitisc	Chronic hepatitis C	4	C0524910	Hepatitis C, Chronic	METAMAP_HIGH_CONF_RESULT_SCORE_OVER_4	10.13	INFLAMMATION of the LIVER in humans that is caused by HEPATITIS C VIRUS lasting six months or more.	Chronic hepatitis C is a liver infection caused by the hepatitis C virus (HCV). HCV can cause serious damage to your liver over many years.  Most people with chronic hepatitis C don't know they have it because they don't feel sick. Without treatment, chronic hepatitis C can lead to scarring of the liver (cirrhosis), liver cancer, and death.
6218	septicencephalopathy	Septic encephalopathy	4						Septic encephalopathy is a type of brain dysfunction that can be caused by a bacterial infection. Symptoms may include changes in mental status, seizures, and coma.
6219	ocularrosacea	Ocular rosacea	4	C0406486	Ocular Rosacea	UMLS_API			a chronic condition that affects the eyes, often causing inflammation, redness, and irritation
6220	morton'sneuralgia	Morton's neuralgia	4	C0027796	Neuralgia	METAMAP_HIGH_CONF_RESULT_SCORE_OVER_4	4.14	Intense or aching pain that occurs along the course or distribution of a peripheral or cranial nerve.	a type of neuritis, or inflammation of a nerve, that typically affects the sciatic nerve.  Morton's neuroma is a condition that results when the nerve between the toes becomes compressed, often by tight shoes. This results in pain, burning, or numbness in the affected toes.
6221	relapsingmultiplesclerosis	Relapsing multiple sclerosis	4	C0026769	Multiple Sclerosis	METAMAP_HIGH_CONF_RESULT_SCORE_OVER_4	5.99		a neurological disorder that is characterized by the recurrence of neurologic symptoms following a period of remission.
6222	keraticprecipitates	Keratic precipitates	4	C0423285	Keratic precipitates	UMLS_API			Keratic precipitates are deposits in the cornea.
6223	ulnarneuritis	Ulnar neuritis	4	C0338538	Ulnar Neuritis	UMLS_API			Ulnar neuritis is a condition that causes tingling or numbness in the hand and arm. The cause is often unknown, but it may be due to a problem with the ulnar nerve.
6224	extensorplantarresponse	Extensor plantar response	4	C0034935	Babinski Reflex	METAMAP_HIGH_CONF_RESULT_SCORE_OVER_4	7.37	A reflex characterized by upward movement of the great toe and an outward movement of the rest of the toes, when the sole of the foot is stroked.	A response in which the foot is dorsiflexed and the toes fan out. This is a normal response in infants and is caused by the extensor muscles contracting.
6225	quantitativesensorytesting	Quantitative sensory testing	4	C0430838	Quantitative Sensory Testing	METAMAP_STRING_MATCH		A non-invasive method for diagnosing peripheral nervous system disorders.	A type of medical testing that is used to measure the sensitivity of your senses, such as your sense of touch, smell, or taste.
6226	retentioncyst	Retention cyst	4	C0035281	Retention cyst	UMLS_API		A cyst that is formed because of the blockage of the duct of a glandular organ.	A retention cyst is a fluid-filled sac that a develops when the duct that carries fluid from a gland or organ is blocked. Retention cysts can form in the breasts, liver, pancreas, and salivary glands.
6227	non-pittingoedema	Non-pitting oedema	4						a build-up of fluid in the tissues, which is not accompanied by the formation of pits when pressure is applied with a finger.
6228	nasalodour	Nasal odour	4	C0919913	Nasal odour	UMLS_API			Nasal odour is an unpleasant smell that emanates from the nose.
6229	antibioticprophylaxis	Antibiotic prophylaxis	4	C0282638	Antibiotic Prophylaxis	METAMAP_STRING_MATCH		Use of antibiotics before, during, or after a diagnostic, therapeutic, or surgical procedure to prevent infectious complications.	the administration of antibiotics to prevent infection.
6230	haematologicalmalignancy	Haematological malignancy	4						A haematological malignancy is a cancer that starts in the cells that line the blood vessels or in the cells that produce blood cells.
6231	prothrombintimeabnormal	Prothrombin time abnormal	4	C0580412	Prothrombin time abnormal	UMLS_API			an abnormal Prothrombin time suggests that a person may have a bleeding disorder.
6232	microvascularcoronaryarterydisease	Microvascular coronary artery disease	4	C3495826	Microvascular coronary artery disease	UMLS_API			Microvascular coronary artery disease is a type of heart disease that affects the blood vessels in the heart. These blood vessels are so small that they can become blocked by a build-up of plaque, preventing enough blood from reaching the heart muscle.
6233	eyeglassestherapy	Eyeglasses therapy	4	C2747845	Eyeglasses therapy	UMLS_API			a type of physical therapy that uses eyeglasses to improve a person's vision.  There is some evidence that using eyeglasses for therapy may improve a person's vision. For example, one study found that using eyeglasses to improve a person's vision may improve their ability to read and learn.
6234	albumincsfincreased	Albumin CSF increased	4	C1168003	Albumin CSF increased	UMLS_API			an increase in the albumin level in the cerebrospinal fluid.
6235	haemorrhagesubepidermal	Haemorrhage subepidermal	4	C0854108	Haemorrhage subepidermal	UMLS_API			A subepidermal haemorrhage is a type of haemorrhage, or bleeding, that occurs beneath the epidermis, or outermost layer of skin. It is a relatively rare occurrence, and can be caused by a range of factors, including physical injuries, abrupt changes in blood pressure, and certain diseases. Symptoms of a subepidermal haemorrhage can include skin discolouration, swelling, and pain. Treatment options vary depending on the cause of the haemorrhage, but may include Rest, Ice, Compression, and Elevation (RICE)
6236	radialnervecompression	Radial nerve compression	4	C0393888	Radial nerve compression	UMLS_API			The radial nerve is a nerve that innervates the muscles on the posterior side of the forearm and hand. It is a nerve that can be compressed, leading to pain, paresis (partial paralysis), and/or palsy (total paralysis) of the muscles that it innervates.
6237	gingivalrecession	Gingival recession	4	C0017572	Gingival Recession	UMLS_API		A loss of gum tissue resulting in an exposure of the roots of the teeth.	an abnormal recession of the gingiva (gums), defined as the exposure of the root surface of teeth due to loss of attached gingiva.    Gingival recession is the displacement of the gingiva from the crown of the tooth. Gingival recession can expose the root surface of the tooth, making the tooth more susceptible to decay and gum disease. Gingival recession is most often caused by gum disease, but can also be caused by tooth brushing and flossing habits, genetics, and tooth misalignment.
6238	bloodcreatineabnormal	Blood creatine abnormal	4	C0854032	Blood creatine abnormal	UMLS_API			an increase in creatine levels in the blood that is not due to an increase in muscle creatine levels.
6239	vitamink	Vitamin K	4	C0042878	vitamin K	UMLS_API		group of lipoid thrombogenic agents based on the bicyclic naphthoquinone ring system; act by inducing prothrombin transcription in liver.	:  A fat-soluble vitamin found in leafy green vegetables, dairy products, and meat that is necessary for the clotting of blood
6240	lymphaticobstruction	Lymphatic obstruction	4	C0240278	Lymphatic obstruction	UMLS_API		Localized fluid retention and tissue swelling caused by a compromised lymphatic system.	Lymphatic obstruction is a medical condition that results when the lymphatic system becomes blocked.
6241	intra-abdominalhaemorrhage	Intra-abdominal haemorrhage	4						bleeding from an internal organ in the abdomen.  Intra-abdominal haemorrhage can occur from a number of sources within the abdomen, including:  -The liver -The spleen -The bowel -The pancreas -The kidneys -The aorta
6242	sportsinjury	Sports injury	4						an injury that is sustained while playing a sport.  Sports injuries can be caused by a number of things, such as contact with another player or object, falling, or overexertion. Some common sports injuries include ankle sprain, knee sprain, and hamstring strain.
6243	abdominalreboundtenderness	Abdominal rebound tenderness	4	C0238569	Abdominal rebound tenderness	UMLS_API			A painful response when pressure is applied to the abdomen and then released.
6244	retinalischaemia	Retinal ischaemia	4	C0035331	Retinaldehyde	METAMAP_HIGH_CONF_RESULT_SCORE_OVER_4	14.73		a lack of blood flow and oxygen to the retina, the light sensitive layer of tissue at the back of the eye. This can cause vision problems and, if left untreated, can lead to blindness.
6245	foetalheartratenormal	Foetal heart rate normal	4						A fetal heart rate normal range is 110 to 160 beats per minute.
6246	bloodureanitrogen/creatinineratiodecreased	Blood urea nitrogen/creatinine ratio decreased	4	C1167983	Blood urea nitrogen/creatinine ratio decreased	UMLS_API			A decrease in the blood urea nitrogen to creatinine ratio suggests that the kidneys are functioning properly.
6247	bloodlactatedehydrogenaseabnormal	Blood lactate dehydrogenase abnormal	4	C0853787	Blood lactate dehydrogenase abnormal	UMLS_API			A blood lactate dehydrogenase (LDH) level that is higher or lower than the normal range indicates that something may be wrong with the way the body is using energy.
6248	pseudomonalbacteraemia	Pseudomonal bacteraemia	4	C1142140	Pseudomonal bacteraemia	UMLS_API			a bacterial infection caused by Pseudomonas aeruginosa.  Pseudomonal bacteraemia is a serious medical condition that arises when the bacteria Pseudomonas aeruginosa enters the bloodstream. This can occur in a number of ways, such as through an open wound, during a surgery, or through the use of a medical device that has been contaminated with the bacteria. Pseudomonas aeruginosa is a common cause of hospital-acquired infections, and can be difficult to treat due to its resistance to many antibiotics. Symptoms of pseudomonal bacteraemia can vary depending on the
6249	belligerence	Belligerence	4	C0679189	Belligerence	UMLS_API			:  Behavior characterized by an aggressive, unreasonable, or unreasonably obstinate disposition.
6250	pancreaticductdilatation	Pancreatic duct dilatation	4	C1457909	Pancreatic duct dilatation	UMLS_API			a pancreatic duct that is wider than it should be
